,q35,age,gender,q3,continente,q4,q6,q21,q22
0,Alteryx ,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
1,Amazon QuickSight,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
2,Domo,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
3,Google Data Studio,1.69,1.69,1.69,1.61,1.69,1.69,1.69,1.69
4,Looker,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
5,Microsoft Azure Synapse ,0.22,0.22,0.22,0.17,0.22,0.22,0.22,0.22
6,Microsoft Power BI,7.39,7.39,7.39,6.91,7.39,7.39,7.39,7.39
7,Other,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
8,Qlik,0.56,0.56,0.56,0.52,0.56,0.56,0.56,0.56
9,SAP Analytics Cloud ,0.43,0.43,0.43,0.3,0.43,0.43,0.43,0.43
10,Salesforce,0.22,0.22,0.22,0.17,0.22,0.22,0.22,0.22
11,TIBCO Spotfire,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
12,Tableau,7.13,7.13,7.13,6.82,7.13,7.13,7.13,7.13
13,Tableau CRM,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39
