,q39,age,gender,q3,continente,q4,q6,q21,q22
0,Colab,8.56,8.56,8.56,8.3,8.56,8.56,8.56,8.56
1,GitHub,24.42,24.42,24.42,23.25,24.42,24.42,24.42,24.42
2,I do not share my work publicly,18.12,18.12,18.12,16.82,18.12,18.12,18.12,18.12
3,Kaggle,19.04,19.04,19.04,18.04,19.04,19.04,19.04,19.04
4,NBViewer,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0
5,Other,2.09,2.09,2.09,2.0,2.09,2.09,2.09,2.09
6,Personal blog,4.04,4.04,4.04,3.82,4.04,4.04,4.04,4.04
7,Plotly Dash,1.52,1.52,1.52,1.39,1.52,1.52,1.52,1.52
8,Shiny,2.17,2.17,2.17,1.87,2.17,2.17,2.17,2.17
9,Streamlit,2.13,2.13,2.13,2.04,2.13,2.13,2.13,2.13
