,q32,age,gender,q3,continente,q4,q6,q21,q22
0, Amazon Aurora ,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
1, Amazon DynamoDB ,1.43,1.43,1.43,1.39,1.43,1.43,1.43,1.43
2, Amazon RDS ,2.04,2.04,2.04,2.0,2.04,2.04,2.04,2.04
3, Amazon Redshift ,3.43,3.43,3.43,3.35,3.43,3.43,3.43,3.43
4, Google Cloud BigQuery ,5.74,5.74,5.74,5.35,5.74,5.74,5.74,5.74
5, Google Cloud BigTable ,2.13,2.13,2.13,1.83,2.13,2.13,2.13,2.13
6, Google Cloud Firestore ,1.56,1.56,1.56,1.13,1.56,1.56,1.56,1.56
7, Google Cloud SQL ,3.78,3.78,3.78,3.43,3.78,3.78,3.78,3.78
8, Google Cloud Spanner ,1.04,1.04,1.04,0.87,1.04,1.04,1.04,1.04
9, IBM Db2 ,1.61,1.61,1.61,1.52,1.61,1.61,1.61,1.61
10, Microsoft Azure Cosmos DB ,1.96,1.96,1.96,1.91,1.96,1.96,1.96,1.96
11, Microsoft Azure SQL Database ,4.52,4.52,4.52,4.35,4.52,4.52,4.52,4.52
12, Microsoft SQL Server ,14.3,14.3,14.3,13.26,14.3,14.3,14.3,14.3
13, MongoDB ,6.61,6.61,6.61,6.08,6.61,6.61,6.61,6.61
14, None,9.95,9.95,9.95,9.47,9.95,9.95,9.95,9.95
15, Oracle Database ,6.91,6.91,6.91,6.43,6.91,6.91,6.91,6.91
16, Other,1.96,1.96,1.96,1.87,1.96,1.96,1.96,1.96
17, PostgreSQL ,11.86,11.86,11.86,11.0,11.86,11.86,11.86,11.86
18, SQLite ,7.65,7.65,7.65,6.95,7.65,7.65,7.65,7.65
19, Snowflake ,2.56,2.56,2.56,2.48,2.56,2.56,2.56,2.56
20,MySQL ,22.21,22.21,22.21,20.86,22.21,22.21,22.21,22.21
