,q14,age,gender,q3,continente,q4,q6,q8,q21,q22
0, Matplotlib ,63.62,63.62,63.62,59.93,63.62,63.62,63.62,61.58,61.06
1, None,11.08,11.08,11.08,10.39,11.08,11.08,11.08,10.34,10.08
2, Other,4.56,4.56,4.56,4.39,4.56,4.56,4.56,4.39,4.39
3,Altair ,1.69,1.69,1.69,1.61,1.69,1.69,1.69,1.69,1.69
4,Bokeh ,4.48,4.48,4.48,4.26,4.48,4.48,4.48,4.39,4.39
5,D3 js ,3.52,3.52,3.52,3.22,3.52,3.52,3.52,3.48,3.48
6,Geoplotlib ,6.3,6.3,6.3,5.87,6.3,6.3,6.3,6.04,6.0
7,Ggplot / ggplot2 ,27.86,27.86,27.86,26.38,27.86,27.86,27.86,27.21,27.03
8,Leaflet / Folium ,3.39,3.39,3.39,3.0,3.39,3.39,3.39,3.39,3.39
9,Plotly / Plotly Express ,25.6,25.6,25.6,23.73,25.6,25.6,25.6,24.9,24.82
10,Seaborn ,50.02,50.02,50.02,47.02,50.02,50.02,50.02,48.72,48.37
11,Shiny ,8.0,8.0,8.0,7.52,8.0,8.0,8.0,7.95,7.95
