,q20,age,gender,q3,continente,q4,q6,q8,q21,q22
0,Academics/Education,14.65,14.65,14.65,13.82,14.65,14.65,14.04,14.39,14.12
1,Accounting/Finance,11.86,11.86,11.86,11.34,11.86,11.86,10.78,11.78,11.73
2,Broadcasting/Communications,2.17,2.17,2.17,2.09,2.17,2.17,2.09,2.17,2.13
3,Computers/Technology,16.99,16.99,16.99,16.38,16.99,16.99,16.12,16.86,16.69
4,Energy/Mining,3.04,3.04,3.04,2.78,3.04,3.04,2.96,3.0,3.0
5,Government/Public Service,6.04,6.04,6.04,5.13,6.04,6.04,5.65,6.04,6.04
6,Hospitality/Entertainment/Sports,1.61,1.61,1.61,1.48,1.61,1.61,1.43,1.56,1.56
7,Insurance/Risk Assessment,2.82,2.82,2.82,2.69,2.82,2.82,2.74,2.82,2.82
8,Manufacturing/Fabrication,5.04,5.04,5.04,4.78,5.04,5.04,4.74,5.04,5.0
9,Marketing/CRM,3.78,3.78,3.78,3.56,3.78,3.78,3.26,3.78,3.65
10,Medical/Pharmaceutical,4.61,4.61,4.61,4.43,4.61,4.61,4.22,4.61,4.61
11,Military/Security/Defense,0.83,0.83,0.83,0.78,0.83,0.83,0.74,0.83,0.83
12,Non-profit/Service,2.56,2.56,2.56,2.22,2.56,2.56,2.43,2.52,2.52
13,Online Business/Internet-based Sales,2.35,2.35,2.35,2.3,2.35,2.35,2.17,2.35,2.3
14,Online Service/Internet-based Services,3.82,3.82,3.82,3.65,3.82,3.82,3.69,3.82,3.82
15,Other,6.0,6.0,6.0,5.69,6.0,6.0,5.52,5.95,5.82
16,Retail/Sales,4.82,4.82,4.82,4.26,4.82,4.82,4.39,4.78,4.78
17,Shipping/Transportation,2.04,2.04,2.04,1.96,2.04,2.04,1.87,2.04,2.04
