,q34,age,gender,q3,continente,q4,q6,q21,q22
0, Alteryx ,1.52,1.52,1.52,1.48,1.52,1.52,1.52,1.52
1, Domo,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
2, Google Data Studio,6.91,6.91,6.91,6.26,6.91,6.91,6.91,6.91
3, Looker,1.17,1.17,1.17,1.09,1.17,1.17,1.17,1.17
4, Microsoft Azure Synapse ,1.52,1.52,1.52,1.43,1.52,1.52,1.52,1.52
5, Microsoft Power BI,21.3,21.3,21.3,19.9,21.3,21.3,21.3,21.3
6, None,11.91,11.91,11.91,11.21,11.91,11.91,11.91,11.91
7, Other,2.61,2.61,2.61,2.48,2.61,2.61,2.61,2.61
8, Qlik,3.3,3.3,3.3,3.0,3.3,3.3,3.3,3.3
9, SAP Analytics Cloud ,1.52,1.52,1.52,1.39,1.52,1.52,1.52,1.52
10, Salesforce,2.48,2.48,2.48,2.35,2.48,2.48,2.48,2.48
11, Sisense ,0.52,0.52,0.52,0.48,0.52,0.52,0.52,0.52
12, TIBCO Spotfire,0.78,0.78,0.78,0.7,0.78,0.78,0.78,0.78
13, Tableau,22.73,22.73,22.73,21.69,22.73,22.73,22.73,22.73
14, Tableau CRM,3.39,3.39,3.39,3.13,3.39,3.39,3.39,3.39
15, Thoughtspot ,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
16,Amazon QuickSight,1.26,1.26,1.26,1.22,1.26,1.26,1.26,1.26
