,q8,age,gender,q3,continente,q4,q6,q21,q22
0,Bash,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
1,C,0.52,0.52,0.52,0.52,0.52,0.52,0.48,0.48
2,C++,0.96,0.96,0.96,0.91,0.96,0.96,0.87,0.87
3,Java,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
4,Javascript,0.39,0.39,0.39,0.26,0.39,0.39,0.35,0.3
5,Julia,0.35,0.35,0.35,0.3,0.35,0.35,0.35,0.35
6,MATLAB,0.48,0.48,0.48,0.39,0.48,0.48,0.35,0.35
7,None,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
8,Other,0.7,0.7,0.7,0.61,0.7,0.7,0.65,0.65
9,Python,68.97,68.97,68.97,65.15,68.97,68.97,64.84,64.19
10,R,8.65,8.65,8.65,7.69,8.65,8.65,8.04,8.0
11,SQL,11.34,11.34,11.34,10.91,11.34,11.34,10.82,10.69
