,age,gender,q3,continente,q4,q6,q21,q22,q39
0,50-54,Man,Belgium,Europa,Bachelor’s degree,20+ years,"1000-9,999 employees",5-9,
1,22-24,Nonbinary,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,< 1 years,250-999 employees,3-4,
2,30-34,Woman,Egypt,África,Bachelor’s degree,3-5 years,0-49 employees,0,I do not share my work publicly
3,22-24,Man,China,Asia,Some college/university study without earning a bachelor’s degree,< 1 years,0-49 employees,0,
4,40-44,Man,South Africa,África,Master’s degree,1-3 years,250-999 employees,1-2,I do not share my work publicly
5,30-34,Prefer not to say,China,Asia,I prefer not to answer,< 1 years,0-49 employees,0,
6,22-24,Man,India,Asia,Bachelor’s degree,< 1 years,250-999 employees,1-2,
7,30-34,Man,India,Asia,Master’s degree,1-3 years,"10,000 or more employees",20+,
8,40-44,Man,Israel,Asia,Bachelor’s degree,< 1 years,250-999 employees,5-9,
9,22-24,Man,India,Asia,Bachelor’s degree,1-3 years,"1000-9,999 employees",20+,
10,30-34,Man,Colombia,América del Sur,I prefer not to answer,< 1 years,50-249 employees,10-14,I do not share my work publicly
11,70+,Woman,United States of America,América del Norte,Master’s degree,20+ years,"1000-9,999 employees",3-4,GitHub
11,70+,Woman,United States of America,América del Norte,Master’s degree,20+ years,"1000-9,999 employees",3-4,Kaggle
12,18-21,Man,Brazil,América del Sur,Bachelor’s degree,3-5 years,"1000-9,999 employees",20+,GitHub
12,18-21,Man,Brazil,América del Sur,Bachelor’s degree,3-5 years,"1000-9,999 employees",20+,Kaggle
12,18-21,Man,Brazil,América del Sur,Bachelor’s degree,3-5 years,"1000-9,999 employees",20+,Colab
13,30-34,Man,India,Asia,Bachelor’s degree,1-3 years,"10,000 or more employees",20+,Personal blog
14,22-24,Man,Ukraine,Europa,Doctoral degree,3-5 years,0-49 employees,1-2,
15,25-29,Woman,Pakistan,Asia,Master’s degree,< 1 years,"1000-9,999 employees",3-4,I do not share my work publicly
16,25-29,Woman,India,Asia,Bachelor’s degree,< 1 years,"10,000 or more employees",20+,I do not share my work publicly
17,35-39,Woman,Other,,Master’s degree,10-20 years,0-49 employees,1-2,
18,25-29,Woman,Pakistan,Asia,Doctoral degree,3-5 years,50-249 employees,1-2,GitHub
18,25-29,Woman,Pakistan,Asia,Doctoral degree,3-5 years,50-249 employees,1-2,Colab
19,25-29,Woman,India,Asia,Master’s degree,1-3 years,250-999 employees,20+,GitHub
19,25-29,Woman,India,Asia,Master’s degree,1-3 years,250-999 employees,20+,Kaggle
19,25-29,Woman,India,Asia,Master’s degree,1-3 years,250-999 employees,20+,Colab
20,40-44,Man,Canada,América del Norte,Master’s degree,< 1 years,0-49 employees,5-9,GitHub
20,40-44,Man,Canada,América del Norte,Master’s degree,< 1 years,0-49 employees,5-9,Kaggle
20,40-44,Man,Canada,América del Norte,Master’s degree,< 1 years,0-49 employees,5-9,Colab
21,30-34,Man,Nigeria,África,Master’s degree,1-3 years,"1000-9,999 employees",1-2,I do not share my work publicly
22,35-39,Woman,Tunisia,África,Doctoral degree,3-5 years,0-49 employees,3-4,
23,22-24,Man,China,Asia,Bachelor’s degree,1-3 years,50-249 employees,3-4,GitHub
23,22-24,Man,China,Asia,Bachelor’s degree,1-3 years,50-249 employees,3-4,Kaggle
23,22-24,Man,China,Asia,Bachelor’s degree,1-3 years,50-249 employees,3-4,Colab
24,25-29,Woman,Italy,Europa,Master’s degree,1-3 years,250-999 employees,1-2,
25,25-29,Woman,India,Asia,Bachelor’s degree,3-5 years,"10,000 or more employees",1-2,
26,50-54,Man,Spain,Europa,Bachelor’s degree,1-3 years,50-249 employees,3-4,GitHub
27,25-29,Man,Colombia,América del Sur,Bachelor’s degree,1-3 years,"10,000 or more employees",20+,GitHub
27,25-29,Man,Colombia,América del Sur,Bachelor’s degree,1-3 years,"10,000 or more employees",20+,Kaggle
27,25-29,Man,Colombia,América del Sur,Bachelor’s degree,1-3 years,"10,000 or more employees",20+,Colab
28,30-34,Woman,United States of America,América del Norte,Bachelor’s degree,< 1 years,0-49 employees,1-2,I do not share my work publicly
29,30-34,Man,Indonesia,Asia,Master’s degree,5-10 years,50-249 employees,3-4,GitHub
29,30-34,Man,Indonesia,Asia,Master’s degree,5-10 years,50-249 employees,3-4,Colab
30,22-24,Man,Sri Lanka,Asia,Bachelor’s degree,1-3 years,0-49 employees,3-4,GitHub
30,22-24,Man,Sri Lanka,Asia,Bachelor’s degree,1-3 years,0-49 employees,3-4,Kaggle
31,25-29,Man,United States of America,América del Norte,Master’s degree,< 1 years,"1000-9,999 employees",20+,GitHub
32,35-39,Man,United States of America,América del Norte,Master’s degree,10-20 years,50-249 employees,3-4,GitHub
32,35-39,Man,United States of America,América del Norte,Master’s degree,10-20 years,50-249 employees,3-4,Kaggle
33,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,< 1 years,50-249 employees,3-4,GitHub
33,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Europa,Bachelor’s degree,< 1 years,50-249 employees,3-4,Kaggle
34,25-29,Woman,India,Asia,Master’s degree,< 1 years,50-249 employees,5-9,GitHub
34,25-29,Woman,India,Asia,Master’s degree,< 1 years,50-249 employees,5-9,Kaggle
35,22-24,Woman,India,Asia,Bachelor’s degree,I have never written code,"10,000 or more employees",5-9,
36,18-21,Woman,Turkey,África,Master’s degree,1-3 years,0-49 employees,5-9,GitHub
36,18-21,Woman,Turkey,África,Master’s degree,1-3 years,0-49 employees,5-9,Other
37,35-39,Man,China,Asia,Bachelor’s degree,< 1 years,"10,000 or more employees",5-9,Personal blog
38,22-24,Man,India,Asia,Master’s degree,< 1 years,"10,000 or more employees",1-2,Plotly Dash
38,22-24,Man,India,Asia,Master’s degree,< 1 years,"10,000 or more employees",1-2,GitHub
38,22-24,Man,India,Asia,Master’s degree,< 1 years,"10,000 or more employees",1-2,Personal blog
38,22-24,Man,India,Asia,Master’s degree,< 1 years,"10,000 or more employees",1-2,Kaggle
38,22-24,Man,India,Asia,Master’s degree,< 1 years,"10,000 or more employees",1-2,Colab
39,22-24,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,< 1 years,250-999 employees,0,
40,22-24,Man,Pakistan,Asia,Bachelor’s degree,1-3 years,0-49 employees,3-4,
41,35-39,Man,Other,,Bachelor’s degree,< 1 years,0-49 employees,0,
42,22-24,Man,Ukraine,Europa,Bachelor’s degree,< 1 years,,,
43,35-39,Man,Kenya,África,Bachelor’s degree,1-3 years,,,
44,30-34,Man,"Iran, Islamic Republic of...",Asia,Doctoral degree,3-5 years,"1000-9,999 employees",20+,
45,45-49,Man,United States of America,América del Norte,Some college/university study without earning a bachelor’s degree,10-20 years,50-249 employees,3-4,
46,35-39,Woman,Other,,Bachelor’s degree,1-3 years,"1000-9,999 employees",5-9,
47,18-21,Woman,China,Asia,I prefer not to answer,1-3 years,0-49 employees,3-4,
48,25-29,Man,South Korea,Asia,Bachelor’s degree,1-3 years,,,
49,30-34,Man,Other,,Doctoral degree,< 1 years,,,
50,30-34,Man,Russia,Asia,Master’s degree,3-5 years,250-999 employees,10-14,
51,22-24,Man,Peru,América del Sur,Bachelor’s degree,1-3 years,50-249 employees,1-2,GitHub
51,22-24,Man,Peru,América del Sur,Bachelor’s degree,1-3 years,50-249 employees,1-2,Colab
52,22-24,Man,United States of America,América del Norte,Bachelor’s degree,3-5 years,"10,000 or more employees",20+,Kaggle
53,50-54,Man,Egypt,África,Bachelor’s degree,3-5 years,"1000-9,999 employees",20+,GitHub
54,22-24,Woman,Other,,Master’s degree,3-5 years,0-49 employees,5-9,
55,40-44,Man,Belgium,Europa,Bachelor’s degree,20+ years,"1000-9,999 employees",3-4,I do not share my work publicly
56,25-29,Woman,India,Asia,Master’s degree,< 1 years,50-249 employees,0,
57,18-21,Woman,Indonesia,Asia,Some college/university study without earning a bachelor’s degree,20+ years,,,
58,30-34,Man,Germany,Europa,Master’s degree,1-3 years,50-249 employees,5-9,I do not share my work publicly
59,30-34,Man,France,Europa,Master’s degree,1-3 years,0-49 employees,1-2,Streamlit
59,30-34,Man,France,Europa,Master’s degree,1-3 years,0-49 employees,1-2,GitHub
59,30-34,Man,France,Europa,Master’s degree,1-3 years,0-49 employees,1-2,Personal blog
59,30-34,Man,France,Europa,Master’s degree,1-3 years,0-49 employees,1-2,Kaggle
59,30-34,Man,France,Europa,Master’s degree,1-3 years,0-49 employees,1-2,Colab
59,30-34,Man,France,Europa,Master’s degree,1-3 years,0-49 employees,1-2,Shiny
60,30-34,Man,China,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,50-249 employees,1-2,Personal blog
60,30-34,Man,China,Asia,Some college/university study without earning a bachelor’s degree,1-3 years,50-249 employees,1-2,Kaggle
61,25-29,Man,South Korea,Asia,Bachelor’s degree,< 1 years,0-49 employees,1-2,
62,30-34,Woman,Nigeria,África,Master’s degree,< 1 years,"1000-9,999 employees",1-2,I do not share my work publicly
63,30-34,Woman,Other,,Master’s degree,3-5 years,50-249 employees,20+,
64,25-29,Man,Russia,Asia,No formal education past high school,5-10 years,250-999 employees,5-9,Personal blog
64,25-29,Man,Russia,Asia,No formal education past high school,5-10 years,250-999 employees,5-9,Kaggle
65,18-21,Man,India,Asia,Bachelor’s degree,< 1 years,0-49 employees,1-2,Colab
66,45-49,Man,Greece,Europa,Bachelor’s degree,< 1 years,"1000-9,999 employees",0,GitHub
66,45-49,Man,Greece,Europa,Bachelor’s degree,< 1 years,"1000-9,999 employees",0,Kaggle
67,22-24,Man,China,Asia,Bachelor’s degree,< 1 years,0-49 employees,,
68,22-24,Man,Brazil,América del Sur,Bachelor’s degree,1-3 years,0-49 employees,10-14,
69,25-29,Man,Egypt,África,Bachelor’s degree,3-5 years,0-49 employees,0,GitHub
69,25-29,Man,Egypt,África,Bachelor’s degree,3-5 years,0-49 employees,0,Kaggle
